No.|Time|Source|Destination|Protocol|Length|Info|No.|ScrapedData
1|4.301|10.0.2.15|192.168.1.1|DNS|85|Standard query A b'vortex.data.microsoft.com.'|1|
2|4.301|10.0.2.15|192.168.1.1|DNS|85|Standard query AAAA b'vortex.data.microsoft.com.'|2|
3|4.302|192.168.1.1|10.0.2.15|DNS|152|Standard response CNAME b'vortex.data.microsoft.com.' b'asimov.vortex.data.trafficmanager.net.'|3|
4|4.322|192.168.1.1|10.0.2.15|DNS|85|Standard query AAAA b'vortex.data.microsoft.com.'|4|
5|14.03|10.0.2.15|216.58.214.142|HTTP|166|GET clients3.google.com/generate_204 HTTP/1.1|5|
7|14.031|216.58.214.142|10.0.2.15|HTTP|137|204 No Content HTTP/1.1|7|
9|15.197|10.0.2.15|192.168.1.1|DNS|95|Standard query A b'content-signature-2.cdn.mozilla.net.'|9|
10|15.203|10.0.2.15|192.168.1.1|DNS|95|Standard query AAAA b'content-signature-2.cdn.mozilla.net.'|10|
11|15.236|192.168.1.1|10.0.2.15|DNS|532|Standard response CNAME b'content-signature-2.cdn.mozilla.net.' b'd2nxq2uap88usk.cloudfront.net.'|11|
12|15.244|192.168.1.1|10.0.2.15|DNS|548|Standard response CNAME b'content-signature-2.cdn.mozilla.net.' b'd2nxq2uap88usk.cloudfront.net.'|12|
28|15.851|10.0.2.15|192.168.1.1|DNS|85|Standard query A b'push.services.mozilla.com.'|28|
29|15.857|10.0.2.15|192.168.1.1|DNS|85|Standard query AAAA b'push.services.mozilla.com.'|29|
30|15.906|192.168.1.1|10.0.2.15|DNS|472|Standard response CNAME b'push.services.mozilla.com.' b'autopush.prod.mozaws.net.'|30|
31|15.912|192.168.1.1|10.0.2.15|DNS|85|Standard query AAAA b'push.services.mozilla.com.'|31|
32|15.913|10.0.2.15|192.168.1.1|DNS|85|Standard query A b'push.services.mozilla.com.'|32|
33|15.913|10.0.2.15|192.168.1.1|DNS|85|Standard query AAAA b'push.services.mozilla.com.'|33|
34|15.914|192.168.1.1|10.0.2.15|DNS|139|Standard response CNAME b'push.services.mozilla.com.' b'autopush.prod.mozaws.net.'|34|
35|15.93|192.168.1.1|10.0.2.15|DNS|85|Standard query AAAA b'push.services.mozilla.com.'|35|
36|15.948|10.0.2.15|192.168.1.1|DNS|87|Standard query A b'safebrowsing.googleapis.com.'|36|
37|15.949|10.0.2.15|192.168.1.1|DNS|87|Standard query AAAA b'safebrowsing.googleapis.com.'|37|
38|15.975|192.168.1.1|10.0.2.15|DNS|246|Standard response A b'safebrowsing.googleapis.com.' 216.58.201.74|38|
39|15.982|192.168.1.1|10.0.2.15|DNS|258|Standard response AAAA b'safebrowsing.googleapis.com.' 2a00:1450:4017:80c::200a|39|
40|16.061|10.0.2.15|192.168.1.1|DNS|73|Standard query A b'ocsp.pki.goog.'|40|
41|16.073|10.0.2.15|192.168.1.1|DNS|73|Standard query AAAA b'ocsp.pki.goog.'|41|
42|16.081|192.168.1.1|10.0.2.15|DNS|367|Standard response CNAME b'ocsp.pki.goog.' b'pki-goog.l.google.com.'|42|
43|16.085|192.168.1.1|10.0.2.15|DNS|395|Standard response CNAME b'ocsp.pki.goog.' b'pki-goog.l.google.com.'|43|
45|16.087|10.0.2.15|192.168.1.1|DNS|97|Standard query A b'firefox.settings.services.mozilla.com.'|45|
46|16.088|10.0.2.15|192.168.1.1|DNS|97|Standard query AAAA b'firefox.settings.services.mozilla.com.'|46|
47|16.176|10.0.2.15|192.168.1.1|DNS|85|Standard query A b'vortex.data.microsoft.com.'|47|
48|16.182|10.0.2.15|192.168.1.1|DNS|85|Standard query AAAA b'vortex.data.microsoft.com.'|48|
49|16.188|10.0.2.15|192.168.1.1|DNS|85|Standard query A b'push.services.mozilla.com.'|49|
50|16.197|192.168.1.1|10.0.2.15|DNS|152|Standard response CNAME b'vortex.data.microsoft.com.' b'asimov.vortex.data.trafficmanager.net.'|50|
51|16.203|192.168.1.1|10.0.2.15|DNS|139|Standard response CNAME b'push.services.mozilla.com.' b'autopush.prod.mozaws.net.'|51|
54|16.326|10.0.2.15|172.217.23.195|HTTP|470|"POST ocsp.pki.goog/gts1c3 HTTP/1.1b""0Q0O0M0K0I0\t\x06\x05+\x0e\x03\x02\x1a\x05\x00\x04\x14\xc7.y\x8a\xdd\xffa4\xb3\xba\xedGB\xb8\xbb\xc6\xc0$\x07c\x04\x14\x8at\x7f\xaf\x85\xcd\xee\x95\xcd=\x9c\xd0\xe2F\x14\xf3q5\x1d'\x02\x10i\x92\x98\x02\xda\xf3^\xbd\n\x00\x00\x00\x01'\xdc\xd3""b""0Q0O0M0K0I0\t\x06\x05+\x0e\x03\x02\x1a\x05\x00\x04\x14\xc7.y\x8a\xdd\xffa4\xb3\xba\xedGB\xb8\xbb\xc6\xc0$\x07c\x04\x14\x8at\x7f\xaf\x85\xcd\xee\x95\xcd=\x9c\xd0\xe2F\x14\xf3q5\x1d'\x02\x10i\x92\x98\x02\xda\xf3^\xbd\n\x00\x00\x00\x01'\xdc\xd3""b""0Q0O0M0K0I0\t\x06\x05+\x0e\x03\x02\x1a\x05\x00\x04\x14\xc7.y\x8a\xdd\xffa4\xb3\xba\xedGB\xb8\xbb\xc6\xc0$\x07c\x04\x14\x8at\x7f\xaf\x85\xcd\xee\x95\xcd=\x9c\xd0\xe2F\x14\xf3q5\x1d'\x02\x10i\x92\x98\x02\xda\xf3^\xbd\n\x00\x00\x00\x01'\xdc\xd3""b""0Q0O0M0K0I0\t\x06\x05+\x0e\x03\x02\x1a\x05\x00\x04\x14\xc7.y\x8a\xdd\xffa4\xb3\xba\xedGB\xb8\xbb\xc6\xc0$\x07c\x04\x14\x8at\x7f\xaf\x85\xcd\xee\x95\xcd=\x9c\xd0\xe2F\x14\xf3q5\x1d'\x02\x10i\x92\x98\x02\xda\xf3^\xbd\n\x00\x00\x00\x01'\xdc\xd3""b""0Q0O0M0K0I0\t\x06\x05+\x0e\x03\x02\x1a\x05\x00\x04\x14\xc7.y\x8a\xdd\xffa4\xb3\xba\xedGB\xb8\xbb\xc6\xc0$\x07c\x04\x14\x8at\x7f\xaf\x85\xcd\xee\x95\xcd=\x9c\xd0\xe2F\x14\xf3q5\x1d'\x02\x10i\x92\x98\x02\xda\xf3^\xbd\n\x00\x00\x00\x01'\xdc\xd3"""|54|
56|16.327|192.168.1.1|10.0.2.15|DNS|85|Standard query AAAA b'vortex.data.microsoft.com.'|56|
57|16.334|192.168.1.1|10.0.2.15|DNS|97|Standard query AAAA b'firefox.settings.services.mozilla.com.'|57|
